Geography,Call Number,Scale,Location,Index
Afghanistan,7630s 250 1960-,"1:250,000",storage,view index
Africa,8200s 1000 [1901-07],"1:1,000,000",storage,view index
Africa,8200s 1000 1942-,"1:1,000,000",storage,view index
Africa,8200s 2000 1949-,"1:2,000,000",storage,view index
"Africa, East",8320s 250 [192-],"1:250,000",storage,view index
"Africa, East",8320s 500 1942,"1:500,000",storage,view index
"Africa, North",8220s 500 1961-,"1:500,000",storage,view index
Algeria,8240s 50 1938-,"1:50,000",storage,view index
Antarctica,9802s B7 250 1973-,"1:250,000",storage,view index
Antarctica,9802s B7 500 1959-,"1:500,000",storage,view index
Antarctica,9802s B7 200 1968-,"1:200,000",storage,view index
Antarctica,9800s 50 1975- [no index],"1:50,000",storage,view index
Antarctica,9802s A9 250 1962- [no index],"1:250,000",storage,view index
Antartica,9800s 500 1963-U,"1:500,000",storage,view index
"Antartica, Queen Maud Land",9802s D7 250 1952-,"1:250,000",storage,view index
"Antartica, Ross Dependency",9802s R6 250 1961,"1:250,000",storage,view index
Arabian Peninsula,7520s 500 1956-,"1:500,000",storage,view index
Argentina,5350s 250 1952-,"1:250,000",storage,view index
Argentina,5350s 50 1949-,"1:50,000",storage,view index
Argentina,5350s 500 1927-,"1:500,000",storage,view index
Argentina,5350s 100 1929-,"1:100,000",storage,N/A
Australia,8960s 250 1958-,"1:250,000",storage,view index
Australia,8960s 250 1975-,"1:250,000",storage,view index
Australia,8960s 100 1964-,"1:100,000",storage,view index
Austria-Hungary,6030s 75 [1873]-,"1:75,000",microfiche cabinet 5th fl.,view index
Austria-Hungary,6490s 50 1946-,"1:50,000",storage,view index
Austria-Hungary,6030s 75 [1876]-,"1:75,000",storage,view index
Bahamas,4980s 50 1963-,"1:50,000",storage,view index
Barbados,5140s 10 1986,"1:10,000",storage,view index
Barbuda,5032s B3 10 1970-,"1:10,000",storage,view index
Belgium,6010s 100 1942-45,"1:100,000",storage,view index
Belgium,6010s 20 2001-,"1:20,000",storage,view index
Belgium,6010s 50 1952-,"1:50,000",storage,view index
Belize,4820s 50 1965-,"1:50,0000",storage,view index
Bermuda,9120s 10 1965,"1:10,540",storage,view index
Bimini Island,4982s B5 10 1968-,"1:10,000",storage,view index
Bolivia,5320s 50 1968-,"1:50,000",storage,view index
Bolivia,5320s 250 1966-,"1:250,000",storage,view index
Borneo,8100s 200 1964-,"1:200,000",storage,view index
Botswana,8600s 500 1965-,"1:500,000",storage,view index
Botswana,8600s 250 1976- [sample sheet],"1:250,000",storage,view index
Botswana,8600s 125 1955-,"1:125,000",storage,view index
Botswana,8600s 100 1981-,"1:100,000",storage,view index
Botswana,8600s 50 1967-,"1:50,000",storage,view index
Brazil,5400s 100 [193-?-,"1:100,000",storage,N/A
Brazil,5400s 1000 1944-,"1:1,000,000",storage,view index
Brazil,5400s 500 1944-,"1:500,000",storage,view index
Brazil,5400s 250 1949-,"1:250,000",storage,view index
Brazil,5400s 100 1965-,"1:100,000",storage,view index
Brazil,5400s 50 1962-,"1:50,000",storage,view index
"Brazil, Minas Gerais",5572s C3 25 1962,"1:25,000",storage,view index
"Brazil, Northeast",5500s 25 1974-,"1:25,000",storage,view index
"Brazil, Sao Paulo",5605s 250 1954-,"1:250,000",storage,view index
"Brazil, Sao Paulo",5605s 100 1907-,"1:100,000",storage,view index
"Brazil, South",5600s 50 1965-,"1:50,000",storage,view index
Canada,3400s 25 1934-,"1:25,000",storage,
Canada,3400s 50 1948-,"1:50,000",storage,
Canada,R3400s 63 1929?-,"1:63,360",storage,
Canada,R3400s 63-126 1904-,,storage,
Canada,R3400s 126 1920-,"1:126,000",storage,
Canada,3400s 125 1960-,"1:125,000",storage,
Canada,R3400s 250 1904-,"1:250,000",storage,
Canada,3400s 250 1949-,"1:250,000",storage,
Canada,R3400s 500 1904-,"1:500,000",storage,
Canada,3400s 500 1955-,"1:500,000",storage,
Canada,3400s 1000 1913-,"1:1000,000",storage,
Cayman Islands,4962 C3 25 1965,"1:25,000",5th floor,view index
Chad,8720s 200 1973-,"1:200,000",storage,N/A
Chile,5330s 50 [1966]-,"1:50,000",storage,view index
Chile,5330s 100 1959,"1:100,000",storage,view index
Chile,5330s 500 1971-,"1:500,000",storage,view index
China,7820s 250 1951-,"1:250,000",storage,view index 1
,,,,view index 2
China-Turkistan,7880s 500 1900-1915,"1:500,000",storage,view index
Columbia,5290s 100 1948-,"1:100,000",storage,view index
Costa Rica,4860s 50 1955-,"1:50,000",storage,view index
Curacao,5180s 25 1962-,"1:25,000",storage,view index
Cyprus,7450s 25 1960-,"1:25,000",storage,view index
Cyprus,7450s 50 1973-,"1:50,000",storage,view index
Cyprus,7450s 50 1964-,"1:50,000",storage,view index
Cyrenica,8260s 100 1941-,"1:100,000",storage,view index
Denmark,6920s 25 1958-,"1:25,000",storage,view index
Denmark,6920s 100 1950-,"1:100,000",storage,view index
Denmark,6920s 20 1901-,"1:20,000",storage,view index
Denmark,6920s 100 1919-,"1:100,000",storage,view index
Denmark,6920s 50 1959-,"1:50,000",storage,view index
Denmark,6920s 40 1870-,"1:40,000",storage,view index
Djibouti,8362s D5 20 1945,"1:20,000",storage,view index
Ecuador,5300s 50 1961-,"1:50,000",storage,view index
Egypt,8300s 100 1941-,"1:100,000",storage,view index
Egypt,8300s 50 1957-,"1:50,000",storage,view index
Egypt & Cyrenica,8300s 250 [194-],"1:250,000",storage,view index
England,5740s 126 1945-,1:126720,storage,view index
Great Britain,5740s 63 1952-,"1:63,360",storage,view index
England,5740s 50 1972-,"1:50,000",5th floor,view index
England,5740s 25 1964-,"1:25,000",5th floor,view index
England & Wales,5750s 10 1896-,"1:10,000",storage,view index
England & Wales,5750s 253 1943,"1:253,440",storage,view index
England & Wales,5750s 253 1920? [sample sheet],"1:253,440",storage,N/A
England & Wales,5750s 126 1912-1932,"1:126,000",storage,view index
England & Wales,5750s 126 [1903-,"1:126,720",storage,view index
England & Wales,5750s 63 1885-1914,"1:63,360",microfiche cabinet 5th fl.,view index
England & Wales,5750s 253 1940-,"1:253,440",storage,view index
England & Wales,5750s 10 [1943?][sample sheets],"1:10,560",storage,N/A
England & Wales,5750s 63 1805-1874,"1:63,360",storage,view index
England & Wales,5750s 63 1918-1926,"1:63,360",storage,view index
England & Wales,5750s 63 1931-,"1:63,360",storage,view index
England & Wales,5750s 63 [1932?][sample sheet],"1:63,360",storage,N/A
England & Wales,5750s 63 1947-52,"1:63,360",storage,view index
England & Wales,5750s 126 1896-1902? [sample sheets],"1:126,720",storage,N/A
Europe,5700s 500 1941-5,"1:500,000",storage,view index
Europe [sample],5700s 250 1936-,"1:250,000",storage,view index
"Europe, Central",6030s 100 1943-,"1:100,000",storage,view index
"Europe, East",6030s 300 1893,"1:300,000",5th floor,view index
"Europe, East",6030s 200 1890-,"1:200,000",5th floor,view index
"Europe, East",6030s 250 1944-,"1:250,000",5th floor,view index
"Europe, East",6965s 250 1954-,"1:250,000",storage,view index
"Europe, Northwest",5720s N65 250 1941-45,"1:250,000",storage,view index
"Europe, Northwest",5720s N65 250 1914-1917,"1:250,000",storage,view index
Falkland Islands,9802s A6 500 195-,"1:500,000",storage,view index
Finland,6960s 400 1947-,"1:400,000",storage,view index
Finland,6960s 100 1940-,"1:100,000",storage,view index
Formosa,7910s 50 1944-1950,"1:50,000",storage,view index
France,5830s 100 1942-,"1:100,000",storage,view index
France,5830s 50 1922-,"1:50,000",5th floor,view index
France,5830s 250 1940-45,"1:250,000",storage,view index
France,5830s 200 1912-,"1:200,000",5th floor,N/A
France,5830s 100 190-,"1:100,000",storage,view index
France,5830s 86 1744-60,"1:86,400",storage,view index
French West Africa,8740s 200 1923-,"1:200,000",storage,view index
Gambia,8870s 25 1978-,"1:25,000",storage,view index
Gambia,8870s 50 1948-,"1:50,000",storage,view index
Germany,6080s 100 1915-,"1:100,000",storage,N/A
Germany,6080s 250 1944-,"1:250,000",storage,view index
Germany,6080s 100 1927-,"1:100,000",storage,view index
Germany,6080s 100 [186-],"1:100,000",microfiche cabinet 5th fl.,view index
Germany,6080s 50 1958-,"1:50,000",storage,view index
Germany,6080s 25 1877-,"1:25,000",storage,view index
"Germany, Schleswig-Holstein",6310s 100 1955-,"1:100,000",storage,view index
Ghana,8850s 50 1952-,"1:50,000",storage,view index
Ghana,8850s 62 1922-,"1:62,500",storage,view index
Ghana,8850s 125 1907-,"1:125,000",storage,view index
Ghana,8850s 250 1920-,"1:250,000",storage,view index
Gilbert Islands,9480s 25 1976-,"1:25,000",storage,view index
Gilbert Islands,9480s 12 1972-,"1:12,500",storage,view index
"Gilbert Islands, Vaitupu Island",9480s 10 1974-,"1:10,000",storage,view index
Grand Bahama Island,4982s G7 25 1962-,"1:25,000",storage,view index
Greece & Albania,6810s 100 1944-,"1:100,000",storage,view index
Greece & Albania,6810s 250 1943-,"1:250,000",storage,view index
Greenland,3380s 250 1933-,"1:250,000",5th floor,N/A
Grenadine Islands,5130s 10 1967-,"1:10,000",storage,view index
Guadeloupe,5070s 50 1951-,"1:50,000",storage,view index
Guatemala,4810s 250 1959-,"1:250,000",storage,view index
Guatemala,4810s 50 1960-,"1:50,000",storage,view index
Guyana,5250s 50 1953-,"1:50,000",storage,view index
"Guyane, Francaise",5270s 50 1945-,"1:50,000",storage,view index
"Guyane, Francaise",5270s 200 1954-,"1:200,000",storage,view index
Honduras,4830s 50 1955-,"1:50,000",storage,view index
Hong Kong,7940s 25 1957,"1:25,000",storage,view index
Hong Kong,7940s 20 1975,"1:20,000",storage,view index
Hungary,6500s 200 1981,"1:200,000",storage,view index
Iberian Peninsula,6540s 250 1941-,"1:250,000",storage,view index
Iceland,6930s 50 1904-,"1:50,000",storage,view index
Iceland,6930s 25 1988-,1:25000,storage,view index
Iceland,6930s 100 1903-,"1:100,000",storage,view index
India,7640s 63 1904-,"1:63,360",storage,view index
India,7640s 126 1889?-,"1:126,720",storage,N/A
India,7640s 500 1978-,"1:500,000",storage,view index
India and Pakistan,7650s 250 1954-,"1:250,000",storage,view index
Indonesia,8070s 250 195-,"1:250,000",storage,view index
"Indonesia, Java",8090s 250 1924-,"1:250,000",storage,view index
"Indonesia, Java",8090s 250 1985-86,"1:250,000",storage,N/A
Iran,digital collection,"1:250,000",Digital Collection,N/A
Iran,DVD 146,"1:250,000",DVD/CD Collection,N/A
Iraq & Iran,7610s 253 1940-,"1:253,440",5th floor,N/A
Ireland,5780s 253 1904-,"1:253,440",storage,view index
Ireland,5780s 10 1833-,"1:10,000",microfiche cabinet 5th fl.,view index
Ireland,5780s 63 1902-,"1:63,360",storage,view index
Ireland,5780s 126 1955-,"1:126,000",storage,view index
Ireland,5780s 253 1948?-,"1:253,440",storage,N/A
Israel,7500s 100 1959-,"1:100,000",storage,view index
Italy,6710s 250 193-,"1:250,000",storage,view index
Italy,6710s 100 1881-,"1:100,000",storage,view index
Italy,6710s 50 1965-,"1:50,000",storage,view index
Italy,6710s 200 1943-,"1:200,000",5th floor,N/A
Italy,6710s 25 1951-,"1:25,000",storage,view index
Italy [Alpes],5832 A3 C22 25 2000,"1:25,000",5th floor,view index
Jamaica,4960s 25 1965-,"1:25,000",storage,N/A
Jamaica,4960s 50 1952-,"1:50,000",storage,view index
Jamaica,4960s 50 1982-,"1:50,000",storage,view index
Jamaica,4960s 12 1970-,"1:12,500",storage,view index
Japan,7960s 200 1915-,"1:200,000",,view index
Japan,uncat,"1:10,000 & 1:50,000",storage,N/A
Japan,7960s 250 1956-,"1:250,000",storage,view index
Japan & Korea,7960s 218 1943-,"1:218,000",storage,view index
"Japan, Central",7980s 250 1943-,"1:250,000",storage,view index
Jordan,7510s 50 1959-,"1:50,000",storage,view index
"Jordan, East",7512s E2 63 19-,"1:63,360",storage,view index
Kenya,8410s 50 1953-,"1:50,000",storage,view index
Kenya,8410s 100 1968-,"1:100,000",storage,view index
Kenya,8410s 250 1955-,"1:250,000",storage,view index
Korea,7900s 50 1945-,"1:50,000",storage,view index
Korea,7900s 250 1944-,"1:250,000",storage,view index
Korea,7900s 250 1950-,"1:250,000",storage,view index
Korea & Japan,7960s 218 1943-,"1:218,000",storage,view index
Kuril Islands,7540s 50 1943-,"1:50,000",storage,view index
Lake Chad,8202s C5 50 1978-,"1:50,000",storage,view index
Latin America,3292s L3 250 1980-,"1:250,000",5th floor,N/A
Lebanon & Syria,7460s 50 1928-50,"1:50,000",storage,view index
Lesotho,8580s 50 1953-,"1:50,000",storage,view index
Libya,8260s 50 [1961-],"1:50,000",storage,view index
Loyalty Is.,9350s 50 1956,"1:50,000",storage,view index
Luxembourg,6020s 50 1954-,"1:50,000",storage,view index
Malagasy,8460s 500 1964-,"1:500,000",storage,view index
Malawi,8610s 50 1950-,"1:50,000",storage,view index
Malaya,8030s 25 1955-,"1:25,000",5th floor,view index
Malaya,8030s 63 1942-1945,"1:63,360",storage,view index
Malaya,8030s 63 1955-,"1:63,360",storage,view index
"Maldives, Addu Atoll",9217s M3A3 10 1970,"1:10,000",storage,view index
Malta,6790s 2 1958-,"1:2,500",storage,view index
Mariana Is.,9410s 24 1968-,"1:24,000",storage,view index
Mauritania,8820s 200 1972-,"1:200,000",storage,view index
Mauritius,9185s 25 1952-,"1:25,000",storage,view index
Mexico,4410s 50 1970-Mexico,"1:50,000",storage,view index
Mexico,4410s 100 [197-?]-,"1:100,000",storage,N/A
Mexico,4410s 250 1976-,"1:250,000",storage,view index
Mexico,4410s 500 1956-,"1:500,000",storage,view index
Mongolia,7840s 250 1955-,"1:250,000",storage,view index
Morocco,8230s 50 1924-,"1:50,000",storage,view index
Mozambique,8450s 500 1933-,"1:500,000",storage,view index
Myanmar (Burma),7720s 250 1954-,"1:250,000",storage,view index
Netherlands,6000s 50 1850-64,"1:50,000",storage,view index
Netherlands,6000s 50 19-,"1:50,000",storage,view index
Netherlands,6000s 25 1951-,"1:25,000",storage,view index
New Caledonia,9340s 50 1956-,"1:50,000",storage,view index
New Guinea,8140s 500 1942-,"1:500,000",storage,view index
"New Guinea, East",8160s 250 1958-,"1:250,000",storage,view index
"New Guinea, West",8150s 100 1955-62,"1:100,000",storage,view index
New Providence Island,4982s N4 2 1961-,"1:2,500",storage,view index
New Zealand,9080s 250 197-,"1:250,000",storage,view index
New Zealand,9080s 250 1958-,"1:250,000",storage,view index
New Zealand,9080s 63 1942-,"1:63,360",storage,view index
Nicaragua,4850s 50 1957-,"1:50,000",storage,view index
Nicaragua,4850s 250 2002-,"1:250,000",storage,view index
Nicaragua,4850s 250 [1962-],"1:250,000",storage,view index
Nigeria,8840s 50 1954-,"1:50,000",storage,view index
Nigeria,8840s 250 1957-,"1:250,000",storage,view index
Northern Ireland,5790s 63 1935-,"1:63,360",storage,view index
Northern Ireland,5790s 20 1975-,"1:20,000",storage,view index
Northern Ireland,5790s 63 1953-,"1:63,360",storage,view index
"Norway, Svalbard",9790s 100 1948-,"1:100,000",storage,view index
Norway,6940s 100 1872-,"1:100,000",storage,view index
Norway,6940s 250 1957-,"1:250,000",storage,view index
Norway,6940s 100 1872-,"1:400,000",storage,view index
Oceans,9095s 10000 1903-,"1:10,000,000",storage,view index
Oman,7560s 100 1978-,"1:100,000",storage,view index
Pakistan,7640s 250 1978-,"1:500,000",storage,view index
Palestine,7500s 100 194-,"1:100,000",storage,view index
Panama,4870s 50 [1970-],"1:50,000",storage,view index
Panama,4870s 25 [1963-],"1:25,000",storage,view index
Paraguay,5380s 50 1970-,"1:50,000",storage,view index
Peru,5310s 100 1960-,"1:100,000",storage,view index
Philippines,8060s 250 1954-,"1:250,000",storage,view index
Poland,6520 500 1956-,"1:500,000",5th floor,view index
Poland,6520s 50 1956-,"1:50,000",storage,view index
Poland,6520s 100 [192-],"1:100,000",microfiche cabinet 5th fl.,view index
Poland,6520s 100 1922-,"1:100,000",storage,view index
Portugal,6690s 100 1936-,"1:100,000",storage,view index
Portugal,6690s 50 1902-,"1:50,000",storage,view index
Prague,6510s 200 1984,"1:200,000",storage,view index
Rhodesia,8550s 50 195-,"1:50,000",storage,view index
Rhodesia,8550s 250 195-,"1:250,000",storage,view index
Rumania,6880s 100 1939-,"1:100,000",storage,view index
Rumania,6880s 250 1943-,"1:250,000",storage,view index
Russia,7010s 200 [195-],"1:200,000",storage,view index
Russia,7010s 100 1890-,"1:100,000",storage,view index
"Russia, West",7010s 84 1915-,"1:84,000",storage,view index
"Russia, Murmansk",7063s M8 100 1942,"1:100,000",storage,view index
Scotland,5770s 63 1921-1930 [sample sheet],"1:63,360",storage,view index
Scotland,5770s 63 1901-1910,"1:63,360",storage,view index
Scotland,5770s 126 [1903-1923],"1:126,720",storage,view index
Scotland,5770s 253 [1935-37],"1:253,440",storage,view index
Scotland,5770s 63 1887-1890,"1:63,360",microfiche cabinet 5th fl.,N/A
Scotland,5770s 63 1947-52,"1:63,360",storage,view index
Seychelles Islands,9200s 10 1963-,"1:10,000",storage,view index
Sierra Leone,8860s 10 1948-,"1:10,000",storage,view index
Sierra Leone,8860s 50 1965,"1:50,000",storage,view index
Solomon Islands,9280s 50 1955-,"1:50,000",storage,view index
South Africa,8500s 500 1951-,"1:500,000",storage,view index
South Africa,8500s 250 1942-,"1:250,000",storage,view index
South Africa,8500s 50 1941-,"1:50,000",storage,view index
South Arabia,7550s 100 1958-,"1:100,000",storage,view index
Spain,6560s 200 1967-,"1:200,000",storage,view index
Spain,6560s 100 1949-,"1:100,000",storage,view index
Spain,6560s 100 1920-24,"1:100,000",storage,view index
Spain,6560s 50 1882-,"1:50,000",storage,view index
St. Vincent & Grenadine,5120s 10 1981,"1:10,000",storage,view index
Sudan,8310s 250 1967-[sample],"1:250,000",storage,view index
Sumatra,8080s 100 1945-,"1:100,000",storage,view index
"Sumatra, East",8080s 100 1945b,"1:100,000",storage,view index
Swaziland,8590s 50 1954-,"1:50,000",storage,view index
Sweden,6950s 50 1955-,"1:50,000",storage,view index
Sweden,6950s 100 1860-,"1:100,000",storage,view index
Sweden,6950s 250 1961-,"1:250,000",storage,view index
"Sweden, North",6952s N6 200 1890,"1:200,000",storage,view index
Switzerland,6040s 50 1904-R,"1:50,000",storage,view index
Switzerland,6040s 50 1938-,"1:50,000",storage,view index
Switzerland,6040s 100 1833-,"1:100,000",storage,view index
Switzerland,6040s 50 18- R,"1:50,000",storage,view index
Tanzania,8430s 50 1947-,"1:50,000",storage,view index
Thailand,8025s 250 1982-,"1:250,000",storage,view index
Tobago,5160s 10 1962-,"1:10,000",storage,view index
Tobago,5160s 25 1962,"1:25,000",storage,view index
Tonga Islands,9570s 25 1945-,"1:25,000",storage,view index
Trinidad,5150s 62 1940-,"1:62,500",storage,view index
Trinidad,5150s 10 1966-,"1:10,000",storage,view index
Trinidad,5150s 25 1963-,"1:25,000",storage,view index
Trinidad,5150s 25 1969-,"1:25,000",storage,view index
Tunisia,8250s 50 1938-,"1:50,000",storage,view index
Turkey,7430s 400 1902-,"1:400,000",storage,view index
Turkey,7430s 200 [194-],"1:200,000",storage,view index
Turks & Caicos Is.,4982s T8 25 1968-,"1:25,000",storage,view index
Tutuila Is.,9562s T8 24 1963,"1:24,000",storage,N/A
Uganda,8420s 50 1952-,"1:50,000",storage,view index
Uganda,8420s 250 1958-,"1:250,000",storage,view index
United States,3700s 24-62 1892-,"24,000 to 62,000",storage,view index
United States,3700s 250 1951-,"1:250,000",5th floor,N/A
United States,3700s 100 1975-,"1:100,000",5th floor,N/A
Uruguay,5370s 50 1926-,"1:50,000",storage,view index
Venezuela,5280s 100 1962-,"1:100,000",storage,view index
Venezuela,5280s 250 1948-,"1:250,000",storage,view index
Venezuela,5280s 250 1970-,"1:250,000",storage,view index
West Germany,6295s 50 1953-,"1:50,000",storage,view index
West Germany,6295s 200 1963-,"1:200,000",storage,view index
World,3200s 500 195-?,"1:500,000",5th floor,N/A
World,3200s 500 198-,"1:500,000",5th floor,N/A
World,3200s 1000 1913-,"1:1,000,000",5th floor,N/A
World,3200s 1000 198-,"1:1,000,000",5th floor,N/A
"Yemen, Aden",7553s 10 1958-,"1:10,000",storage,view index
Yugoslavia,6840s 250 1943-,"1:250,000",storage,view index
Zambia,8570s 50 1949-,"1:50,000",storage,view index
Zambia,8570s 250 1957-,"1:250,000",storage,view index
